State,Type,Strike,Call Price_MC,Put Price_MC,Call Price_Trinomial,Put Price_Trinomial,market_call,market_put
0,American,240,20.31684,25.04102,13.06711,17.28587,20.84999847,24.07499695
0,American,250,16.71321,31.58345,9.33162,24.18292,16.52500153,29.17500305
0,American,260,13.4854,38.55017,6.49796,32.43139,12.8499999,35.82499695
0,American,270,10.84263,46.049,4.42056,41.99069,9.775000095,43.375
0,American,280,8.45133,54.3806,2.94513,51.99069,7.399999619,52.65000153
0,European,240,22.07281,23.81681,13.06711,15.64726,,
0,European,250,17.69368,30.11162,9.33162,21.51967,,
0,European,260,14.35035,36.45683,6.49796,28.29391,,
0,European,270,11.20279,43.47607,4.42056,35.8244,,
0,European,280,9.59491,50.86338,2.94513,43.95686,,
1,American,240,9.82302,15.08467,16.03997,20.25279,20.84999847,24.07499695
1,American,250,6.3264,22.61354,12.23388,26.81593,16.52500153,29.17500305
1,American,260,3.89012,32.04238,9.18583,34.3604,12.8499999,35.82499695
1,American,270,2.19783,41.99034,6.79725,42.81014,9.775000095,43.375
1,American,280,1.20282,51.9715,4.963,52.0756,7.399999619,52.65000153
1,European,240,10.64646,13.21106,16.03997,18.62013,,
1,European,250,6.87805,18.64169,12.23388,24.42193,,
1,European,260,4.42019,26.64056,9.18583,30.98177,,
1,European,270,2.66302,33.85856,6.79725,38.20109,,
1,European,280,1.66311,42.98561,4.963,45.97473,,
